object_id	position	extracted_text
object_1	(142, 1, 178, 49)	yellow traffic light with a green light on it
object_2	(223, 103, 236, 133)	blurred image of a car parked on a street with a person walking by
object_3	(395, 125, 465, 173)	there is a car with a sign on the front of it
object_4	(704, 140, 813, 196)	there are many chairs that are lined up in a row
object_5	(387, 101, 404, 129)	there is a blurry photo of a street corner with a bench and a sign
object_6	(324, 107, 355, 128)	there is a blurry photo of a bathroom with a toilet and a shower
object_7	(533, 112, 555, 143)	there is a blurry photo of a wine bottle and a glass
object_8	(875, 141, 895, 191)	there is a glass of wine sitting on a table next to a bottle
object_9	(532, 162, 687, 314)	araffe driving down the street in front of a car
object_10	(319, 196, 425, 490)	woman riding a bike with a basket on the back of it
object_11	(771, 138, 864, 185)	there is a white van with a blue and white cake on top
object_12	(424, 128, 463, 167)	there is a blue vase sitting on top of a table
object_13	(557, 107, 575, 134)	there is a blurry photo of a woman sitting on a bench
object_14	(338, 344, 409, 409)	there is a man riding a bike with a basket of food on his back
object_15	(957, 126, 979, 186)	blurry image of a man with a backpack walking down a street
object_16	(129, 65, 166, 99)	there is a dog that is sitting on a bench in the street
object_17	(145, 18, 179, 74)	there is a traffic light that is yellow and green with a green light
object_18	(756, 109, 777, 142)	there is a blurry photo of a man and a woman sitting at a table
object_19	(522, 119, 545, 147)	there is a blurry photo of a building with a clock on it
object_20	(319, 190, 345, 229)	there is a blurry photo of a man sitting on a bench
object_21	(343, 390, 392, 537)	there is a person riding a bike with a dog on the back
object_22	(672, 92, 690, 125)	someone is taking a picture of a man with a red heart on his face
object_23	(249, 78, 259, 93)	there is a yellow banana sitting on a plate on a table
object_24	(181, 126, 212, 204)	there is a man that is walking down the street with a tennis racket
object_25	(720, 158, 884, 282)	araffes are driving down the street in traffic with a car
object_26	(103, 220, 132, 276)	someone is holding a bag of food and a bag of bread
object_27	(399, 110, 415, 135)	there is a bottle of liquid sitting on a bed next to a pillow
object_28	(334, 337, 408, 536)	there is a man riding a bike with a catchers mitt on it
object_29	(447, 99, 465, 128)	there is a man standing next to a clock in a room
object_30	(959, 126, 984, 184)	there is a blurry photo of a man with a backpack on a bench
object_31	(542, 135, 611, 173)	there is a white car parked on the street with a man walking by
object_32	(482, 166, 692, 318)	arafed vehicle driving down a street with a sign on the side
object_33	(758, 114, 780, 145)	there is a woman sitting at a table with a plate of food
object_34	(960, 124, 982, 184)	there is a blurry photo of a man with a backpack
object_35	(99, 212, 128, 267)	there is a bag of food and a drink on a table
object_36	(89, 192, 130, 319)	there is a woman walking down the street with a bag and a bag
object_37	(656, 140, 713, 200)	there are many cars parked in a parking lot with a bird on the roof
object_38	(695, 153, 747, 209)	cars parked on the side of the road near a parking meter
object_39	(487, 146, 583, 211)	cars parked on the side of the road near a street sign
object_40	(256, 54, 273, 71)	there is a blurry photo of a plate of food with a sandwich
object_41	(448, 155, 548, 219)	there is a white car parked next to a street sign
object_42	(919, 180, 999, 287)	there are two cars parked on the side of the road
object_43	(865, 131, 881, 156)	there is a blurry photo of a green door and a green fire hydrant
object_44	(289, 133, 334, 171)	there is a motorcycle parked on the side of the road
object_45	(278, 101, 317, 127)	there are two bananas that are sitting on a table
object_46	(849, 128, 869, 166)	there is a woman that is sitting in a car with a cell phone
object_47	(776, 136, 869, 175)	there is a blurry photo of a bus with a person walking by
object_48	(129, 12, 158, 57)	there is a yellow chair sitting in front of a stove
object_49	(314, 164, 343, 227)	there is a man riding a bike with a green jacket on
object_50	(538, 162, 681, 313)	arafed suv parked on the side of the road with a sign in front of it
object_51	(849, 128, 866, 154)	there is a blurry photo of a woman with a cell phone
object_52	(309, 151, 342, 223)	there is a man riding a bike down a street with a dog
object_53	(242, 82, 254, 104)	there is a yellow flower that is in the middle of a field
object_54	(719, 158, 873, 282)	araffes are driving down the street in traffic with a car
object_55	(441, 146, 501, 213)	araffes in a white shirt and a black and white car
object_56	(472, 92, 548, 145)	there is a sign that says no parking on the street
object_57	(231, 104, 247, 135)	there is a blurry photo of a bench and a tree
object_58	(315, 185, 342, 229)	there is a man riding a bike with a green helmet on
object_59	(492, 118, 511, 146)	there is a blurry photo of a television in a living room
object_60	(695, 143, 756, 177)	there is a dog sitting on a chair in a living room
object_61	(637, 125, 703, 169)	there is a white truck parked on the street with a blue car
